"Epoch","fast-tree-19 - _step","fast-tree-19 - _step__MIN","fast-tree-19 - _step__MAX","fast-tree-19 - Validation loss","fast-tree-19 - Validation loss__MIN","fast-tree-19 - Validation loss__MAX"
"1","502","502","502","1.7477305591106416","1.7477305591106416","1.7477305591106416"
"11","5523","5523","5523","0.9260101664066315","0.9260101664066315","0.9260101664066315"
"31","15565","15565","15565","0.5475558367371559","0.5475558367371559","0.5475558367371559"
"41","20586","20586","20586","0.54047453135252","0.54047453135252","0.54047453135252"
"61","30628","30628","30628","0.4915874466300011","0.4915874466300011","0.4915874466300011"
"71","35649","35649","35649","0.4691160660982132","0.4691160660982132","0.4691160660982132"
"91","45691","45691","45691","0.4976952962577343","0.4976952962577343","0.4976952962577343"
"101","50712","50712","50712","0.4588993313908577","0.4588993313908577","0.4588993313908577"
"111","55733","55733","55733","0.47695752277970316","0.47695752277970316","0.47695752277970316"
"121","60754","60754","60754","0.48501425728201863","0.48501425728201863","0.48501425728201863"
"131","65775","65775","65775","0.477900495827198","0.477900495827198","0.477900495827198"
"141","70796","70796","70796","0.4585556335747242","0.4585556335747242","0.4585556335747242"
"151","75817","75817","75817","0.5155839994549751","0.5155839994549751","0.5155839994549751"
"171","85859","85859","85859","0.5495938101410865","0.5495938101410865","0.5495938101410865"
"201","100922","100922","100922","0.586530480235815","0.586530480235815","0.586530480235815"
"221","110964","110964","110964","0.5642015145719051","0.5642015145719051","0.5642015145719051"
"231","115985","115985","115985","0.6333887429535389","0.6333887429535389","0.6333887429535389"
"261","131048","131048","131048","0.6982922324538231","0.6982922324538231","0.6982922324538231"
"281","141090","141090","141090","0.6832054705917835","0.6832054705917835","0.6832054705917835"
"291","146111","146111","146111","0.6711608345806599","0.6711608345806599","0.6711608345806599"
"301","151132","151132","151132","0.673957811743021","0.673957811743021","0.673957811743021"