"Epoch","vital-frost-17 - _step","vital-frost-17 - _step__MIN","vital-frost-17 - _step__MAX","vital-frost-17 - Validation loss","vital-frost-17 - Validation loss__MIN","vital-frost-17 - Validation loss__MAX"
"1","558","558","558","1.8974771329334803","1.8974771329334803","1.8974771329334803"
"31","17301","17301","17301","1.0183183657271522","1.0183183657271522","1.0183183657271522"
"41","22882","22882","22882","0.8731794375926256","0.8731794375926256","0.8731794375926256"
"51","28463","28463","28463","0.8532629162073135","0.8532629162073135","0.8532629162073135"
"61","34044","34044","34044","0.7338152336222785","0.7338152336222785","0.7338152336222785"
"71","39625","39625","39625","0.7493862483118262","0.7493862483118262","0.7493862483118262"
"81","45206","45206","45206","0.7813764778631074","0.7813764778631074","0.7813764778631074"
"91","50787","50787","50787","0.7237286740647895","0.7237286740647895","0.7237286740647895"
"111","61949","61949","61949","0.656446345682655","0.656446345682655","0.656446345682655"
"121","67530","67530","67530","0.6301313673279115","0.6301313673279115","0.6301313673279115"
"131","73111","73111","73111","0.6062724265669074","0.6062724265669074","0.6062724265669074"
"141","78692","78692","78692","0.6914621628820896","0.6914621628820896","0.6914621628820896"
"151","84273","84273","84273","0.5991339574434927","0.5991339574434927","0.5991339574434927"
"201","112178","112178","112178","0.630921992074166","0.630921992074166","0.630921992074166"
"211","117759","117759","117759","0.6545325871556997","0.6545325871556997","0.6545325871556997"
"241","134502","134502","134502","0.7900897288428885","0.7900897288428885","0.7900897288428885"
"271","151245","151245","151245","0.7785504856812102","0.7785504856812102","0.7785504856812102"
"291","162407","162407","162407","0.7718764212248581","0.7718764212248581","0.7718764212248581"