"Step","fiery-cherry-32 - Validation loss","fiery-cherry-32 - Validation loss__MIN","fiery-cherry-32 - Validation loss__MAX"
"502","1.641458410024643","1.641458410024643","1.641458410024643"
"5523","0.7676752400398255","0.7676752400398255","0.7676752400398255"
"10544","0.6041617450118065","0.6041617450118065","0.6041617450118065"
"15565","0.4657889646291733","0.4657889646291733","0.4657889646291733"
"20586","0.4691374233365059","0.4691374233365059","0.4691374233365059"
"25607","0.371127273440361","0.371127273440361","0.371127273440361"
"30628","0.4242671908438206","0.4242671908438206","0.4242671908438206"
"35649","0.3585533629357815","0.3585533629357815","0.3585533629357815"
"40670","0.3644829580187798","0.3644829580187798","0.3644829580187798"
"45691","0.322334775775671","0.322334775775671","0.322334775775671"
"50712","0.3461530175805092","0.3461530175805092","0.3461530175805092"
"55733","0.3164548036456108","0.3164548036456108","0.3164548036456108"
"60754","0.3160126642137766","0.3160126642137766","0.3160126642137766"
"65775","0.3421889969706535","0.3421889969706535","0.3421889969706535"
"70796","0.31964528881013393","0.31964528881013393","0.31964528881013393"
"75817","0.30912353947758675","0.30912353947758675","0.30912353947758675"
"80838","0.2832490160316229","0.2832490160316229","0.2832490160316229"
"85859","0.3209800567477942","0.3209800567477942","0.3209800567477942"
"90880","0.34128037028014657","0.34128037028014657","0.34128037028014657"
"95901","0.30124748177826405","0.30124748177826405","0.30124748177826405"
"100922","0.32313381612300873","0.32313381612300873","0.32313381612300873"
"105943","0.3304984436929226","0.3304984436929226","0.3304984436929226"
"110964","0.3327107000723481","0.3327107000723481","0.3327107000723481"
"115985","0.3348743977583945","0.3348743977583945","0.3348743977583945"
"121006","0.3524790658801794","0.3524790658801794","0.3524790658801794"
"126027","0.34961837355978787","0.34961837355978787","0.34961837355978787"
"131048","0.3576576744019985","0.3576576744019985","0.3576576744019985"
"136069","0.36465688833966853","0.36465688833966853","0.36465688833966853"
"141090","0.35731514621526","0.35731514621526","0.35731514621526"
"146111","0.3654812503233552","0.3654812503233552","0.3654812503233552"
"151132","0.36520841471850873","0.36520841471850873","0.36520841471850873"