"Epoch","jumping-pine-25 - _step","jumping-pine-25 - _step__MIN","jumping-pine-25 - _step__MAX","jumping-pine-25 - Validation accuracy","jumping-pine-25 - Validation accuracy__MIN","jumping-pine-25 - Validation accuracy__MAX"
"11","6139","6139","6139","0.5843253968253966","0.5843253968253966","0.5843253968253966"
"31","17301","17301","17301","0.756547619047619","0.756547619047619","0.756547619047619"
"71","39625","39625","39625","0.8150793650793651","0.8150793650793651","0.8150793650793651"
"81","45206","45206","45206","0.7998015873015873","0.7998015873015873","0.7998015873015873"
"101","56368","56368","56368","0.8568452380952382","0.8568452380952382","0.8568452380952382"
"141","78692","78692","78692","0.8502976190476191","0.8502976190476191","0.8502976190476191"
"151","84273","84273","84273","0.8654761904761906","0.8654761904761906","0.8654761904761906"
"161","89854","89854","89854","0.8713293650793652","0.8713293650793652","0.8713293650793652"
"171","95435","95435","95435","0.8710317460317462","0.8710317460317462","0.8710317460317462"
"181","101016","101016","101016","0.8846230158730161","0.8846230158730161","0.8846230158730161"
"201","112178","112178","112178","0.8852182539682543","0.8852182539682543","0.8852182539682543"
"211","117759","117759","117759","0.8857142857142859","0.8857142857142859","0.8857142857142859"
"241","134502","134502","134502","0.9021825396825399","0.9021825396825399","0.9021825396825399"
"271","151245","151245","151245","0.9074404761904764","0.9074404761904764","0.9074404761904764"
"281","156826","156826","156826","0.90734126984127","0.90734126984127","0.90734126984127"
"291","162407","162407","162407","0.9067460317460319","0.9067460317460319","0.9067460317460319"
"301","167988","167988","167988","0.9049603174603177","0.9049603174603177","0.9049603174603177"