"Epoch","fast-tree-19 - _step","fast-tree-19 - _step__MIN","fast-tree-19 - _step__MAX","fast-tree-19 - Validation accuracy","fast-tree-19 - Validation accuracy__MIN","fast-tree-19 - Validation accuracy__MAX"
"31","15565","15565","15565","0.8138","0.8138","0.8138"
"41","20586","20586","20586","0.8284000000000001","0.8284000000000001","0.8284000000000001"
"61","30628","30628","30628","0.8441000000000001","0.8441000000000001","0.8441000000000001"
"71","35649","35649","35649","0.8545","0.8545","0.8545"
"81","40670","40670","40670","0.8622999999999998","0.8622999999999998","0.8622999999999998"
"121","60754","60754","60754","0.8639","0.8639","0.8639"
"131","65775","65775","65775","0.8655000000000003","0.8655000000000003","0.8655000000000003"
"151","75817","75817","75817","0.8628999999999998","0.8628999999999998","0.8628999999999998"
"191","95901","95901","95901","0.8804","0.8804","0.8804"
"201","100922","100922","100922","0.8778000000000001","0.8778000000000001","0.8778000000000001"
"211","105943","105943","105943","0.8842","0.8842","0.8842"
"221","110964","110964","110964","0.8892","0.8892","0.8892"
"231","115985","115985","115985","0.8915000000000001","0.8915000000000001","0.8915000000000001"
"251","126027","126027","126027","0.9007999999999999","0.9007999999999999","0.9007999999999999"
"261","131048","131048","131048","0.9017000000000001","0.9017000000000001","0.9017000000000001"
"271","136069","136069","136069","0.8992","0.8992","0.8992"
"281","141090","141090","141090","0.9036000000000002","0.9036000000000002","0.9036000000000002"
"301","151132","151132","151132","0.9019000000000001","0.9019000000000001","0.9019000000000001"