"Epoch","vital-frost-17 - _step","vital-frost-17 - _step__MIN","vital-frost-17 - _step__MAX","vital-frost-17 - Validation accuracy","vital-frost-17 - Validation accuracy__MIN","vital-frost-17 - Validation accuracy__MAX"
"1","558","558","558","0.29216269841269843","0.29216269841269843","0.29216269841269843"
"11","6139","6139","6139","0.5510912698412698","0.5510912698412698","0.5510912698412698"
"31","17301","17301","17301","0.6323412698412697","0.6323412698412697","0.6323412698412697"
"41","22882","22882","22882","0.6961309523809524","0.6961309523809524","0.6961309523809524"
"51","28463","28463","28463","0.7","0.7","0.7"
"61","34044","34044","34044","0.7481150793650794","0.7481150793650794","0.7481150793650794"
"71","39625","39625","39625","0.741765873015873","0.741765873015873","0.741765873015873"
"91","50787","50787","50787","0.7507936507936509","0.7507936507936509","0.7507936507936509"
"101","56368","56368","56368","0.7741071428571429","0.7741071428571429","0.7741071428571429"
"131","73111","73111","73111","0.7955357142857145","0.7955357142857145","0.7955357142857145"
"171","95435","95435","95435","0.79484126984127","0.79484126984127","0.79484126984127"
"191","106597","106597","106597","0.7994047619047618","0.7994047619047618","0.7994047619047618"
"201","112178","112178","112178","0.8245039682539684","0.8245039682539684","0.8245039682539684"
"211","117759","117759","117759","0.8192460317460318","0.8192460317460318","0.8192460317460318"
"231","128921","128921","128921","0.8397817460317462","0.8397817460317462","0.8397817460317462"
"241","134502","134502","134502","0.8362103174603176","0.8362103174603176","0.8362103174603176"
"261","145664","145664","145664","0.85734126984127","0.85734126984127","0.85734126984127"
"271","151245","151245","151245","0.8594246031746033","0.8594246031746033","0.8594246031746033"
"281","156826","156826","156826","0.86359126984127","0.86359126984127","0.86359126984127"
"291","162407","162407","162407","0.8623015873015875","0.8623015873015875","0.8623015873015875"
"301","167988","167988","167988","0.8631944444444446","0.8631944444444446","0.8631944444444446"